id	Nome do aeroporto	Cod IATA	COD ICAO	Cidade	Pa°s	Latitude	Longetude	Altitude	Fuso hor†rio	DST	Continente/Cidade
7936	Chicago Executive Airport	PWK	KPWK	Chicago-Wheeling	United States	42114222	-87901494	647	-6	A	America/Chicago
7938	Southwest Washington Regional Airport	KLS	KKLS	Kelso	United States	4611800003049999	-122898002625	20	-8	A	America/Los_Angeles
7939	Bene?ov Airport	\N	LKBE	Benesov	Czech Republic	4974079895019531	14644700050354004	1319	1	U	Europe/Prague
7941	Bougouni Airport	\N	GABG	Bougouni	Mali	11449999809265137	-7517000198364258	1139	0	N	Africa/Bamako
7946	Tureia Airport	ZTA	NTGY	Tureia	French Polynesia	-2078969955444336	-13857000732421875	12	-10	N	\N
7947	McMurdo Station Ice Runway	\N	NZIR	Ross Island	Antarctica	-7785399627685547	166468994140625	1	12	N	Antarctica/South_Pole
7948	Keekorok Airport	\N	HKKE	Keekorok	Kenya	-15829999446868896	3525	5800	3	N	Africa/Nairobi
7962	Puerto Obaldia Airport	PUE	MPOA	Puerto Obaldia	Panama	8667	-77418	223	-5	U	America/Panama
7963	Kerch Airport	KHC	UKFK	Kerch	Ukraine	45372501373291016	3640140151977539	171	3	E	Europe/Simferopol
7976	Ukunda Airstrip	UKA	HKUK	Ukunda	Kenya	-429333	39571098	98	3	U	Africa/Nairobi
7978	Wilmington Airpark	ILN	KILN	Wilmington	United States	39427898407	-83792098999	1077	-5	U	America/New_York
7979	Marana Regional Airport	AVW	KAVQ	Tucson	United States	324095993042	-111218002319	2031	-7	U	America/Phoenix
7980	Casa Grande Municipal Airport	CGZ	KCGZ	Casa Grande	United States	32954899	-111766998	1464	-7	U	America/Phoenix
7981	Mobile Airport	\N	1AZ0	Mobile	United States	33111900329589844	-11226899719238281	1261	-7	U	America/Phoenix
7982	Buckeye Municipal Airport	BXK	KBXK	Buckeye	United States	3342039871	-112685997	1033	-7	U	America/Phoenix
7983	Gila Bend Municipal Airport	\N	KE63	Gila Bend	United States	3295809937	-1126780014	789	-7	U	America/Phoenix
7984	McMinn County Airport	MMI	KMMI	Athens	United States	3539730072	-8456259918	875	-5	N	America/New_York
7985	Sterling Municipal Airport	STK	KSTK	Sterling	United States	4061529922	-1032649994	4040	-7	A	America/Denver
7986	Rawlins Municipal Airport/Harvey Field	RWL	KRWL	Rawlins	United States	4180559921	-1071999969	6813	-7	A	America/Denver
7987	Mackenzie Airport	\N	CYZY	Mackenzie British Columbia	Canada	55304402	-123132004	2264	-8	A	America/Vancouver
7990	Essex County Airport	CDW	KCDW	Caldwell	United States	40875198364300005	-742814025879	173	-5	A	America/New_York
7991	Lee C Fine Memorial Airport	AIZ	KAIZ	Kaiser Lake Ozark	United States	380960006714	-9254949951170002	869	-6	A	America/Chicago
7998	Thomasville Regional Airport	TVI	KTVI	Thomasville	United States	30901599884033	-83881301879883	264	-5	A	America/New_York
7999	Henderson Executive Airport	HSH	KHND	Henderson	United States	359728012085	-115134002686	2492	-8	A	America/Los_Angeles
8000	Gostomel Airport	GML	UKKM	Kiev	Ukraine	5060350036621094	301919002532959	517	2	E	Europe/Kiev
8005	Henry Tift Myers Airport	TMA	KTMA	Tifton	United States	314290008545	-834885025024	355	-5	A	America/New_York
8006	Landshut Airport	\N	EDML	Landshut	Germany	4851166534423828	12033332824707031	1312	1	E	Europe/Berlin
8007	Itzehoe/Hungriger Wolf Airport	\N	EDHF	Itzehoe	Germany	5399444580078125	9578611373901367	89	1	E	Europe/Berlin
8029	Radom Airport	RDO	EPRA	RADOM	Poland	513891983032	21213300705	610	1	E	Europe/Warsaw
8030	Phoenix Deer Valley Airport	DVT	KDVT	Phoenix 	United States	336883010864	-112083000183	1478	-7	A	America/Phoenix
8031	Calgary / Springbank Airport	\N	CYBW	Calgary	Canada	51103099823	-114374000549	3940	-7	A	America/Edmonton
8032	Golden Airport	\N	CYGE	Golden	Canada	51299196	-116982002	2575	-7	A	America/Edmonton
8033	Revelstoke Airport	YRV	CYRV	Revelstoke	Canada	509667015076	-118182998657	1459	-8	A	America/Vancouver
8034	Republic Airport	FRG	KFRG	Farmingdale	United States	407288017273	-734133987427	82	-5	A	America/New_York
8035	Allstedt Airport	\N	EDBT	Allstedt	Germany	5138055419921875	11446666717529297	932	1	E	Europe/Berlin
8038	General Freire Airport	\N	SCIC	Curico	Chile	-3496666717529297	-7121639251708984	722	-4	S	America/Santiago
8039	Peine-Eddesse Airport	\N	EDVP	Peine	Germany	52402500152600005	10228889465299998	249	1	E	Europe/Berlin
8042	South Texas Regional Airport at Hondo	\N	KHDO	Hondo	United States	2935950088501	-99176696777344	930	-6	A	America/Chicago
8043	Zhongwei Shapotou Airport	ZHY	ZLZW	Zhongwei	China	37573125	105154454	8202	8	N	Asia/Shanghai
8050	McKinley National Park Airport	MCL	PAIN	McKinley Park	United States	637326011658	-148910995483	1720	-9	A	America/Anchorage
8051	Lake Hood Airport	\N	PALH	Anchorage	United States	61186946	-149965442	73	-9	A	America/Anchorage
8052	Prospect Creek Airport	PPC	PAPR	Prospect Creek	United States	66814102172852	-15064399719238	1095	-9	A	America/Anchorage
8053	Khwai River Lodge Airport	KHW	FBKR	Khwai River	Botswana	-19149999618530273	23783000946044922	3000	2	N	Africa/Gaborone
8054	Spremberg-Welzow Airport	\N	EDCY	Welzow	Germany	51575557708740234	14136943817138672	374	1	E	Europe/Berlin
8055	Taichung Airport	TXG	RCLG	Taichung	Taiwan	2418630027770996	12065399932861328	369	8	N	Asia/Taipei
8062	Wheeling Ohio County Airport	HLG	KHLG	Wheeling	United States	401749992371	-806463012695	1195	-5	A	America/New_York
8063	Fitzgerald Municipal Airport	\N	KFZG	Fitzgerald	United States	31683700561523438	-8327050018310547	365	-5	A	America/New_York
8069	Ye Airport	XYE	VYYE	Ye	Burma	15300000190734863	9786699676513672	30	65	U	Asia/Rangoon
8070	Isla San Felix Airport	\N	SCFX	Isla San Felix	Chile	-26293899536132812	-8009619903564453	165	-4	U	America/Santiago
8075	Shaibah Airport	\N	OESB	Shaybah	Saudi Arabia	2251449966430664	539640998840332	300	3	N	Asia/Riyadh
8076	Al Maktoum International Airport	DWC	OMDW	Dubai	United Arab Emirates	24896356	55161389	114	4	U	Asia/Dubai
8077	Aransas County Airport	RKP	KRKP	Rockport	United States	280867996216	-970446014404	24	-6	A	America/Chicago
8079	Megäve Airport	MVV	LFHM	Verdun	France	4582080078125	6652219772338867	4823	1	U	Europe/Paris
8080	MÇribel Altiport	MFX	LFKX	Ajaccio	France	45407003	6577942	5636	1	U	Europe/Paris
8082	Baise Youjiang Airport	AEB	ZGBS	Baise	China	237206001282	106959999084	490	8	N	Asia/Shanghai
8083	Okaukuejo Airport	OKF	FYOO	Okaukuejo	Namibia	-19149200439453125	1591189956665039	3911	1	S	Africa/Windhoek
8084	Mokuti Lodge Airport	OKU	FYMO	Mokuti Lodge	Namibia	-1881279945373535	1705940055847168	3665	1	S	Africa/Windhoek
8085	Rotenburg (WÅmme) Airport	\N	EDXQ	Rotenburg Wuemme	Germany	53128334045410156	9348610877990723	98	1	E	Europe/Berlin
8086	WipperfÅrth-Neye Airport	\N	EDKN	Wipperfuerth	Germany	51124168395996094	7373610973358154	863	1	E	Europe/Berlin
8087	OsnabrÅck-Atterheide Airport	\N	EDWO	Osnabrueck	Germany	52286388	7969722	287	1	E	Europe/Berlin
8088	Flugplatz Ballenstedt	\N	EDCB	Ballenstedt	Germany	51745834	11229722	535	1	E	Europe/Berlin
8089	Flugplatz Hartenholm	\N	EDHM	Hasenmoor	Germany	53915001	10035556	108	1	E	Europe/Berlin
8090	Ganderkesee Atlas Airfield	\N	EDWQ	Ganderkesee	Germany	5303611	8505556	95	1	E	Europe/Berlin
8091	Nienburg-Holzbalge Airport	\N	EDXI	Nienburg Weser	Germany	52709720611572266	9162500381469727	82	1	E	Europe/Berlin
8092	Damme Airfield	\N	EDWC	Damme	Germany	52487499	8185556	151	1	E	Europe/Berlin
8093	Borkenberge Airport	\N	EDLB	Duelmen	Germany	51779998779299994	728805589676	157	1	E	Europe/Berlin
8094	Obermehler-Schlotheim Airport	\N	EDCO	Obermehler	Germany	5126777648925781	10634721755981445	909	1	E	Europe/Berlin
8095	Hodenhagen Airport	\N	EDVH	Hodenhagen	Germany	52761865	961056	79	1	E	Europe/Berlin
8096	Grube Airport	\N	EDHB	Grube	Germany	5424444580078125	110247220993042	7	1	E	Europe/Berlin
8097	Tõnder Airport	\N	EKTD	Toender	Denmark	549296989440918	8840570449829102	1	1	E	Europe/Copenhagen
8098	Celle-Arloh Airport	\N	EDVC	Celle	Germany	5268722152709961	1011138916015625	207	1	E	Europe/Berlin
8099	Uelzen Airport	\N	EDVU	Uelzen	Germany	529838905334	104650001526	246	1	E	Europe/Berlin
8100	Hamm-Lippewiesen Airport	\N	EDLH	Hamm	Germany	51689720153808594	7816111087799072	190	1	E	Europe/Berlin
8101	LÅsse Airport	\N	EDOJ	Luesse	Germany	52141109466552734	12664722442626953	217	1	E	Europe/Berlin
8102	Porta Westfalica Airport	\N	EDVY	Bad Oeynhausen	Germany	5222083282470703	8859167098999023	148	1	E	Europe/Berlin
8103	Brilon/Hochsauerlandkreis Airfield	\N	EDKO	Brilon	Germany	514025	8641667	1509	1	E	Europe/Berlin
8104	Hameln-Pyrmont Airport	\N	EDVW	Bad Pyrmont	Germany	5196666717529297	9291666984558105	1178	1	E	Europe/Berlin
8105	Nordholz-Spieka Airfield	\N	EDXN	Cuxhaven	Germany	53767223	8643611	72	1	E	Europe/Berlin
8106	Kîthen Airport	KOQ	EDCK	Koethen	Germany	517211112976	11952777862500001	305	1	E	Europe/Berlin
8107	St. Michaelisdonn Airport	\N	EDXM	Sankt Michaelisdonn	Germany	53978057861328125	9144721984863281	125	1	E	Europe/Berlin
8108	Salzgitter-DrÅtte Airport	\N	EDVS	Salzgitter	Germany	5215444564819336	10426667213439941	328	1	E	Europe/Berlin
8109	Karlshîfen Airport	\N	EDWK	Karlshoefen	Germany	5333277893066406	9028332710266113	20	1	E	Europe/Berlin
8110	Oldenburg-Hatten Airfield	\N	EDWH	Oldenburg	Germany	5306889	8313611	26	1	E	Europe/Berlin
8111	Rinteln Airport	\N	EDVR	Rinteln	Germany	5217527770996094	9053333282470703	180	1	E	Europe/Berlin
8112	MÅnster-Telgte Airport	\N	EDLT	Muenster	Germany	5194444274902344	7773889064788818	177	1	E	Europe/Berlin
8113	St. Peter-Ording Airport	PSH	EDXO	Sankt Peter-Ording	Germany	5430888748168945	8686944007873535	7	1	E	Europe/Berlin
8114	LÅchow-Rehbeck Airport	\N	EDHC	Luechow	Germany	53016109466552734	11144444465637207	49	1	E	Europe/Berlin
8115	Klietz/Scharlibbe Airport	\N	EDCL	Scharlibbe	Germany	52709442138671875	12073332786560059	95	1	E	Europe/Berlin
8116	Burg Airport	\N	EDBG	Burg	Germany	52241668701171875	11856110572814941	174	1	E	Europe/Berlin
8117	Crisp County Cordele Airport	\N	KCKF	Cordele	United States	3198880005	-8377390289	310	-5	A	America/New_York
8118	Ormond Beach Municipal Airport	\N	KOMN	Ormond Beach	United States	29300600051879883	-8111360168457031	29	-5	A	America/New_York
8119	Bad Neuenahr-Ahrweiler Airfield	\N	EDRA	Bad Neuenahr	Germany	50557777	7136389	673	1	E	Europe/Berlin
8120	Bad DÅrkheim Airport	\N	EDRF	Bad Duerkheim	Germany	4947305679321289	8196389198303223	351	1	E	Europe/Berlin
8121	Portland Troutdale Airport	TTD	KTTD	Troutdale	United States	4554940032959	-12240100097656	39	-8	A	America/Los_Angeles
8122	Portland Hillsboro Airport	HIO	KHIO	Hillsboro	United States	45540401	-122949997	208	-8	A	America/Los_Angeles
8123	One Police Plaza Heliport	\N	NK39	New York	United States	4071260070800781	-7399960327148438	244	-5	A	America/New_York
8124	Leverkusen Airport	\N	EDKL	Leverkusen	Germany	5101527786254883	7005556106567383	157	1	E	Europe/Berlin
8126	Wershofen/Eifel Airfield	\N	EDRV	Wershofen	Germany	50451389	6783333	1581	1	E	Europe/Berlin
8127	Khost Airport	KHT	OAKS	Khost	Afghanistan	333334007263	69952003479	3756	45	N	Asia/Kabul
8130	Namtu Airport	NMT	VYNT	Naypyidaw	Burma	23083	97383003	2000	65	N	Asia/Rangoon
8133	Bend Municipal Airport	\N	KBDN	Bend	United States	4409479904	-1212009964	3460	-8	A	America/Los_Angeles
8134	Christmas Valley Airport	\N	K62S	Christmas Valley	United States	4323649978637695	-12066600036621094	4317	-8	A	America/Los_Angeles
8135	Burns Municipal Airport	BNO	KBNO	Burns	United States	435918998718	-118955001831	4148	-8	A	America/Los_Angeles
8136	Prineville Airport	PRZ	KS39	Prineville	United States	44286998748779	-12090399932861	3250	-8	A	America/Los_Angeles
8137	Red Bluff Municipal Airport	RBL	KRBL	Red Bluff	United States	401506996155	-122251998901	352	-8	A	America/Los_Angeles
8138	Marin County Airport - Gnoss Field	NOT	KDVO	Novato	United States	38143600463867	-12255599975586	2	-8	A	America/Los_Angeles
8139	Lake County Airport	LKV	KLKV	Lakeview	United States	42161098480199996	-120399002075	4733	-8	A	America/Los_Angeles
8140	Tillamook Airport	OTK	KTMK	Tillamook	United States	454182014465	-123814002991	36	-8	A	America/Los_Angeles
8141	Ontario Municipal Airport	ONO	KONO	Ontario	United States	44020500183105	-11701399993896	2193	-7	A	America/Denver
8142	Columbia Gorge Regional the Dalles Municipal Airport	DLS	KDLS	The Dalles	United States	456184997559	-121166999817	247	-8	A	America/Los_Angeles
8143	Montgomery County Airpark	GAI	KGAI	Gaithersburg	United States	39168300628699996	-771660003662	539	-5	A	America/New_York
8146	Sharana Airstrip	OAS	OASA	Sharona	Afghanistan	3312575	68838517	7340	45	N	Asia/Kabul
8147	Pembroke Airport	YTA	CYTA	Pembroke	Canada	4586439895629883	-7725170135498047	529	-5	A	America/Toronto
8148	Tsumeb Airport	TSB	FYTM	Tsumeb	Namibia	-1926189994812	17732500076294	4353	1	U	Africa/Windhoek
8149	Suffield Heliport	YSD	CYSD	Suffield	Canada	50266700744628906	-11118299865722656	2525	-7	A	America/Edmonton
8152	Blumenau Airport	BNU	SSBL	BLUMENAU	Brazil	-2683060073852539	-49090301513671875	60	-3	S	America/Sao_Paulo
8156	Bolshoye Gryzlovo Airfield	\N	UUDG	Stupino	Russia	54785	37645	797	3	N	Europe/Moscow
8162	Charlevoix Municipal Airport	\N	KCVX	Charelvoix	United States	453047981262207	-852748031616211	669	-5	A	America/New_York
8165	Mykines Heliport	\N	EKMS	Mykines	Faroe Islands	621021003723	-7645919799800001	110	0	E	Atlantic/Faeroe
8177	Cornwall Regional Airport	YCC	CYCC	Cornwall	Canada	4509280014038086	-7456330108642578	175	-5	A	America/Toronto
8178	Seppe Airfield	\N	EHSE	Bosschenhoofd	Netherlands	51554699	45525	30	1	E	Europe/Amsterdam
8179	St Stephan Airport	\N	LSTS	St.Stephan	Switzerland	46497398376464844	7412569999694824	3304	1	E	Europe/Zurich
8180	Zona da Mata Regional Airport	IZA	SDZY	Juiz de Fora	Brazil	-215130558014	-431730575562	1348	-3	S	America/Sao_Paulo
8181	IAR Gimbav Heliport	\N	LRBG	Brasov	Romania	45686443	25529058	0	2	E	Europe/Bucharest
8182	Flagler Executive Airport	\N	KXFL	Flagler	United States	294674	-81206299	33	-5	A	America/New_York
8187	Morrisville Stowe State Airport	MVL	KMVL	Morrisville	United States	4453459930419999	-726139984131	732	-5	A	America/New_York
8188	Dallas Executive Airport	RBD	KRBD	Dallas	United States	326809005737	-968682022095	660	-6	A	America/Chicago
8189	Como (Idroscalo - Water Ad) Hidroport	\N	LILY	Como	Italy	45814701	906972	663	1	E	Europe/Rome
8192	Krainiy Airport	BXY	UAOL	Baikonur	Kazakhstan	45621994	63210773	317	6	U	Asia/Qyzylorda
8194	Westerly State Airport	WST	KWST	Washington County	United States	413496017456	-718033981323	81	-5	A	America/New_York
8195	Block Island State Airport	BID	KBID	Block Island	United States	411680984497	-71577796936	108	-5	A	America/New_York
8199	Nightmute Airport	NME	PAGT	Nightmute	United States	60471000671387	-16470100402832	4	-9	A	America/Anchorage
8200	Toksook Bay Airport	OOK	PAOO	Toksook Bay	United States	6054140091	-1650870056	59	-9	A	America/Anchorage
8208	Ittoqqortoormiit Heliport	OBY	BGSC	Ittoqqortoormiit	Greenland	704882288244	-21971679925900002	238	-1	U	America/Scoresbysund
8209	Vinnytsia/Gavyryshivka Airport	VIN	UKWW	Vinnitsa	Ukraine	49242531	28613778	961	2	E	Europe/Kiev
8215	Decatur County Industrial Air Park	BGE	KBGE	Bainbridge	United States	309715004	-8463739777	141	-5	A	America/New_York
8216	La Romaine Airport	ZGS	CTT5	La Romaine	Canada	50259701	-60679401	90	-4	A	America/Blanc-Sablon
8217	Kegaska Airport	ZKG	CTK6	Kegaska	Canada	501958007812	-61265800476100004	32	-4	A	America/Blanc-Sablon
8218	Black Tickle Airport	YBI	CCE4	Black Tickle	Canada	534693984985	-55784999847399995	57	-4	A	America/Halifax
8219	Silver Springs Airport	\N	KSPZ	Silver Springs	United States	3940299987792969	-1192509994506836	4269	-8	A	America/Los_Angeles
8220	Whiteman Airport	WHP	KWHP	Los Angeles	United States	342593002319	-118413002014	1003	-8	A	America/Los_Angeles
8221	Madera Municipal Airport	MAE	KMAE	Madera	United States	369886016846	-120111999512	255	-8	A	America/Los_Angeles
8223	Trail Airport	YZZ	CAD4	Trail	Canada	490555992126	-11760900116	1427	-8	A	America/Vancouver
8224	Victoria Airport	\N	CAP5	Patricia Bay	Canada	486538920506	-123450450897	0	-8	A	America/Vancouver
8225	Old Arctic Bay Airport	YAB	CJX7	Arctic Bay	Canada	730058922479	-850325489044	100	-6	A	America/Winnipeg
8227	Birchwood Airport	\N	PABV	Belmopan	Belize	6141650009	-1495070038	83	-9	U	America/Anchorage
8228	Grand-Santi Airport	GSI	SOGS	Grand-Santi	French Guiana	4285833	-54373056	207	-3	S	America/Cayenne
8229	Maripasoula Airport	MPY	SOOA	Maripasoula	French Guiana	36575	-54037201	406	-3	S	America/Cayenne
8230	Saint-Laurent-du-Maroni Airport	LDX	SOOM	Saint-Laurent-du-Maroni	French Guiana	548306	-54034401	16	-3	S	America/Cayenne
8233	Kanas Airport	KJI	ZWKN	Burqin	China	482223	869959	3921	8	U	Asia/Shanghai
8234	Capurgan† Airport	CPB	SKCA	Capurgana	Colombia	863333	-7735	49	-5	S	America/Bogota
8235	Sohag International Airport	HMB	HEMK	Sohag	Egypt	26342778	31742778	310	2	E	Africa/Cairo
8236	Presidente General Don Oscar D. Gestido International Airport	RVY	SURV	Rivera	Uruguay	-30974599838256836	-55476200103759766	712	-3	S	America/Montevideo
8237	Patos de Minas Airport	POJ	SNPD	Patos de Minas	Brazil	-18672800064086914	-464911994934082	2793	-3	S	America/Sao_Paulo
8238	Bauru - Arealva Airport	JTC	SJTC	Bauru	Brazil	-22166859140899998	-490502866745	1949	-3	S	America/Sao_Paulo
8239	OurilÉndia do Norte Airport	OIA	SDOW	Ourilandia do Norte	Brazil	-6763100147250001	-510499000549	901	-3	S	America/Belem
8240	Redená∆o Airport	RDC	SNDC	Redencao	Brazil	-8033289909362793	-4997990036010742	670	-3	S	America/Belem
8241	S∆o FÇlix do Xingu Airport	SXX	SNFX	Sao Felix do Xingu	Brazil	-66413	-519523	656	-3	S	America/Belem
8242	Bonito Airport	BYO	SJDB	Bointo	Brazil	-21247299	-56452499	1180	-4	S	America/Campo_Grande
8243	S∆o FÇlix do Araguaia Airport	SXO	SWFX	Sao Felix do Araguaia	Brazil	-11632399559020996	-5068960189819336	650	-4	S	America/Campo_Grande
8244	Caáador Airport	CFC	SBCD	Cacador	Brazil	-2678840065	-509398002625	3376	-3	S	America/Sao_Paulo
8245	Carauari Airport	CAF	SWCA	Carauari	Brazil	-4871520042419434	-6689749908447266	355	-4	S	America/Boa_Vista
8246	Urucu Airport	\N	SWUY	Porto Urucu	Brazil	-488422012329	-653554000854	243	-4	S	America/Boa_Vista
8247	EirunepÇ Airport	ERN	SWEI	Eirunepe	Brazil	-6639530181884766	-6987979888916016	412	-4	S	America/Boa_Vista
